"id","hotel","reader","helpful","overall","value","room","location","clean","check","service","business","target","probGood"
40,"hotel_99368",-1,-1,5,4,4,4,5,5,5,4,"good","0.97196261682243"
41,"hotel_99368",1,1,5,4,5,5,5,5,5,5,"good","0.984405458089669"
42,"hotel_99368",-1,-1,5,5,3,5,5,5,5,5,"good","1"
43,"hotel_99368",-1,-1,5,4,4,4,4,4,4,4,"good","0.991596638655462"
44,"hotel_99368",-1,-1,5,3,4,4,4,4,5,3,"good","0.8"
45,"hotel_99368",-1,-1,4,4,3,4,3,4,4,3,"good","0.789473684210526"
46,"hotel_99368",-1,-1,5,4,5,5,5,5,3,4,"good","1"
47,"hotel_99368",4,1,2,3,4,5,2,3,4,3,"bad","0"
48,"hotel_99368",-1,-1,4,5,4,5,5,5,4,3,"good","1"
49,"hotel_99368",-1,-1,4,4,4,5,5,5,5,3,"good","0.983108108108108"
50,"hotel_99368",1,1,5,5,5,5,5,2,2,5,"bad","0"
51,"hotel_99368",2,2,4,5,4,5,4,4,3,3,"good","0.875"
52,"hotel_99368",3,3,5,5,5,5,5,5,5,5,"good","0.999309630652399"
53,"hotel_99368",2,2,5,5,5,5,5,5,5,5,"good","0.999678353168221"
54,"hotel_99368",-1,-1,5,5,5,5,5,5,5,5,"good","0.998984083982391"
55,"hotel_99368",1,1,4,4,5,5,5,5,5,5,"good","0.991408934707904"
56,"hotel_99368",-1,-1,4,5,4,5,3,4,3,3,"good","0.666666666666667"
57,"hotel_99368",-1,-1,5,5,5,5,5,5,5,5,"good","0.99829293274155"
58,"hotel_99368",-1,-1,4,5,4,5,5,5,5,5,"good","0.998251748251748"
59,"hotel_99368",2,2,4,4,4,5,4,4,4,5,"good","0.955882352941177"
60,"hotel_99368",-1,-1,5,5,5,5,5,5,5,4,"good","0.998612074947953"
61,"hotel_99368",2,2,5,4,5,5,5,4,5,4,"good","0.972727272727273"
62,"hotel_99368",5,3,2,2,3,4,2,4,3,2,"bad","0"
63,"hotel_99368",-1,-1,4,5,4,4,4,4,4,5,"good","1"
64,"hotel_99368",-1,-1,2,1,2,4,2,2,2,2,"bad","0"
65,"hotel_99368",-1,-1,4,3,4,5,5,4,4,5,"bad","0.4"
66,"hotel_99368",-1,-1,4,3,2,5,4,4,4,5,"bad","0"
67,"hotel_99368",2,2,5,5,5,5,5,5,5,5,"good","0.998629198080877"
68,"hotel_99368",2,2,5,5,4,5,4,4,4,4,"good","0.98"
69,"hotel_99368",-1,-1,4,4,4,4,5,3,4,5,"good","0.904761904761905"
70,"hotel_99368",-1,-1,5,5,4,5,5,5,5,5,"good","0.992395437262357"
71,"hotel_99368",-1,-1,3,3,2,5,2,3,5,5,"bad","0"
72,"hotel_99368",-1,-1,4,5,5,5,5,5,5,1,"good","0.99832327297116"
73,"hotel_99368",2,2,4,5,4,5,5,5,5,4,"good","0.996491228070175"
74,"hotel_99368",2,2,5,5,5,5,5,5,5,5,"good","0.999294532627866"
75,"hotel_99368",2,2,5,5,5,5,5,5,5,3,"good","0.997975025312184"
76,"hotel_99368",5,5,5,5,5,5,5,5,5,4,"good","0.998693664271718"
77,"hotel_99368",1,1,5,5,5,5,5,5,5,2,"good","0.99788285109386"
78,"hotel_99368",1,1,4,4,4,5,5,5,5,5,"good","0.974169741697417"
79,"hotel_99368",1,1,5,5,5,5,5,5,5,5,"good","0.997590361445783"
80,"hotel_99368",7,3,1,3,3,3,3,3,1,1,"bad","0"
81,"hotel_99368",5,4,5,5,5,5,5,4,5,5,"good","0.996138996138996"
82,"hotel_99368",2,2,4,4,4,4,4,4,4,4,"good","0.962406015037594"
83,"hotel_99368",3,3,5,5,5,5,5,5,5,5,"good","0.998657267539443"
84,"hotel_99368",10,10,5,5,5,5,5,5,5,5,"good","0.997654941373534"
85,"hotel_99368",3,3,4,4,4,5,4,5,5,3,"good","0.980952380952381"
86,"hotel_99368",3,2,5,4,5,5,5,5,5,5,"good","0.996515679442509"
87,"hotel_99368",6,4,5,5,4,5,5,5,5,5,"good","0.998251748251748"
88,"hotel_99368",7,5,5,5,5,5,5,5,5,5,"good","0.998645903859174"
89,"hotel_99368",1,1,5,5,5,4,5,4,5,3,"good","1"
90,"hotel_99368",7,7,5,5,5,5,5,5,5,5,"good","0.998300475866757"
91,"hotel_99368",3,3,5,5,5,5,5,5,5,5,"good","0.997970230040595"
92,"hotel_99368",3,3,4,4,5,5,4,4,4,3,"good","1"
93,"hotel_99368",4,4,5,5,5,5,5,5,5,5,"good","0.997658079625293"
94,"hotel_99368",1,0,4,5,5,5,4,4,5,4,"good","1"
95,"hotel_99368",4,4,5,5,5,5,5,5,5,5,"good","0.997968167964782"
96,"hotel_99368",2,2,5,5,5,5,5,5,5,5,"good","0.998618307426598"
97,"hotel_99368",5,5,5,5,5,5,5,5,5,5,"good","0.999668104878858"
98,"hotel_99368",3,3,5,5,5,5,5,4,4,4,"good","1"
99,"hotel_99368",3,3,5,4,5,5,5,5,5,5,"good","0.99063670411985"
100,"hotel_99368",1,1,5,4,5,5,5,5,5,4,"good","0.986013986013986"
101,"hotel_99368",4,4,5,4,4,5,5,5,5,4,"good","0.988461538461539"
102,"hotel_99368",2,2,5,5,5,5,5,5,5,5,"good","0.998614958448753"
103,"hotel_99368",2,2,5,5,5,5,4,5,4,4,"good","1"
104,"hotel_99368",7,7,5,4,4,5,5,5,4,3,"good","0.977777777777778"
105,"hotel_99368",10,9,5,5,5,5,5,5,5,4,"good","0.997603560424512"
106,"hotel_99368",12,12,5,5,5,5,5,5,5,5,"good","0.999666666666667"
107,"hotel_99368",28,22,5,5,5,5,5,5,5,5,"good","0.99796126401631"
108,"hotel_99368",19,15,4,4,4,5,3,5,4,4,"good","1"
109,"hotel_99368",22,19,5,3,5,5,5,5,5,5,"good","0.857142857142857"
110,"hotel_99368",14,13,4,4,5,5,5,4,4,5,"good","0.986111111111111"
111,"hotel_99368",10,1,2,3,4,4,4,3,1,1,"bad","0"
112,"hotel_99368",16,8,3,3,3,4,3,4,4,3,"good","0.571428571428571"
113,"hotel_99368",13,8,4,4,5,5,5,5,4,4,"good","0.972972972972973"
114,"hotel_99368",14,9,3,3,2,3,3,3,3,2,"bad","0"
115,"hotel_99368",10,6,5,3,4,4,5,5,5,5,"good","0.75"
116,"hotel_99368",15,9,5,5,4,5,5,5,5,5,"good","0.996309963099631"
117,"hotel_99368",9,6,4,4,4,4,4,4,4,5,"good","0.9609375"
118,"hotel_99368",8,6,5,4,4,5,5,5,5,5,"good","0.981203007518797"
119,"hotel_99368",5,5,4,5,4,5,5,5,5,5,"good","0.998181818181818"
120,"hotel_99368",7,7,5,5,5,5,5,5,5,5,"good","0.998032141685799"
121,"hotel_99368",5,4,4,3,4,4,5,5,5,5,"good","0.764705882352941"
122,"hotel_99368",10,8,4,5,4,5,5,5,4,4,"good","0.984375"
123,"hotel_99368",33,17,5,4,3,5,5,5,5,3,"good","0.904761904761905"
124,"hotel_99368",21,12,5,5,5,5,5,5,5,5,"good","0.999316706525453"
125,"hotel_99368",4,2,3,3,4,4,5,2,3,4,"bad","0"
126,"hotel_99368",6,6,5,4,5,5,5,5,5,4,"good","0.982591876208897"
127,"hotel_99368",22,21,4,4,4,5,5,4,5,3,"good","1"
128,"hotel_99368",-1,-1,4,4,4,5,4,4,4,4,"good","0.961538461538462"
129,"hotel_99368",-1,-1,4,4,4,4,3,3,4,5,"good","1"
130,"hotel_99368",-1,-1,4,4,4,5,5,5,5,5,"good","0.989795918367347"
131,"hotel_99368",-1,-1,5,4,5,5,5,5,5,5,"good","0.987249544626594"
132,"hotel_99368",-1,-1,4,4,4,4,4,4,4,4,"good","0.964788732394366"
133,"hotel_99368",-1,-1,3,3,3,4,3,4,3,4,"bad","0.19047619047619"
134,"hotel_80925",1,1,5,5,5,4,5,5,5,5,"good","1"
135,"hotel_80925",1,1,4,5,5,4,5,5,5,3,"good","1"
136,"hotel_80925",2,2,4,5,4,4,5,5,5,3,"good","1"
137,"hotel_80925",1,1,5,5,4,3,5,5,5,5,"good","1"
138,"hotel_80925",1,1,5,5,4,4,4,5,4,4,"good","1"
139,"hotel_80925",1,1,3,3,2,4,5,5,5,2,"bad","0"
140,"hotel_80925",4,1,1,1,1,1,2,2,2,2,"bad","0"
141,"hotel_80925",1,1,5,5,5,5,5,5,5,5,"good","0.998292349726776"
142,"hotel_80925",3,3,4,4,4,4,4,4,4,4,"good","0.973856209150327"
143,"hotel_80925",-1,-1,5,5,5,5,5,5,5,5,"good","0.997011952191235"
144,"hotel_80925",2,2,5,5,4,4,4,5,5,5,"good","1"
145,"hotel_80925",-1,-1,5,5,4,4,5,5,5,5,"good","0.981308411214953"
146,"hotel_80925",-1,-1,4,5,4,3,5,5,5,5,"good","1"
147,"hotel_80925",2,2,5,4,4,3,4,5,5,4,"good","0.75"
148,"hotel_80925",2,2,5,4,4,3,4,5,5,4,"good","1"
149,"hotel_80925",3,3,5,5,5,4,5,5,5,5,"good","0.998269896193772"
150,"hotel_80925",3,2,4,3,5,2,5,5,5,5,"good","1"
151,"hotel_80925",2,2,4,4,5,3,4,4,4,4,"good","0.777777777777778"
152,"hotel_80925",2,2,5,4,4,3,5,5,5,5,"good","1"
153,"hotel_80925",1,1,5,5,5,5,5,5,5,5,"good","0.997946611909651"
154,"hotel_80925",3,1,2,3,3,3,4,5,4,3,"bad","0"
155,"hotel_80925",1,1,5,4,5,5,4,5,5,5,"good","0.954545454545455"
156,"hotel_80925",-1,-1,5,5,5,4,5,5,5,5,"good","1"
157,"hotel_80925",1,1,5,5,5,5,5,5,5,5,"good","0.998290598290598"
158,"hotel_80925",1,1,5,5,5,5,5,5,5,5,"good","0.998646820027064"
159,"hotel_80925",1,1,5,5,5,5,5,5,5,5,"good","0.999662047989186"
160,"hotel_80925",1,1,4,5,4,4,4,5,4,3,"good","1"
161,"hotel_80925",2,2,4,4,4,4,4,4,4,4,"good","0.967479674796748"
162,"hotel_80925",2,2,5,5,5,5,5,5,4,5,"good","0.991869918699187"
163,"hotel_80925",1,1,5,5,5,4,5,4,4,3,"good","1"
164,"hotel_80925",2,1,4,4,5,3,5,5,5,4,"good","1"
165,"hotel_80925",1,1,5,5,4,4,5,5,5,5,"good","1"
166,"hotel_80925",1,1,4,4,3,4,4,5,5,3,"good","0.909090909090909"
167,"hotel_80925",1,1,5,5,4,3,4,5,5,4,"good","1"
168,"hotel_80925",3,2,5,5,4,4,5,5,4,3,"good","1"
169,"hotel_80925",-1,-1,5,5,5,4,5,5,5,5,"good","1"
170,"hotel_80925",1,1,4,5,4,4,3,5,5,3,"good","1"
171,"hotel_80925",2,2,5,5,4,4,5,5,5,4,"good","0.981308411214953"
172,"hotel_80925",1,1,5,4,4,5,5,5,5,5,"good","0.984962406015038"
173,"hotel_80925",1,1,4,4,4,3,4,5,5,4,"good","1"
174,"hotel_80925",1,1,4,5,3,4,4,5,5,4,"good","1"
175,"hotel_80925",1,1,5,5,5,5,5,5,5,5,"good","0.997950819672131"
176,"hotel_80925",2,2,5,4,4,4,5,5,5,3,"good","0.982456140350877"
177,"hotel_80925",2,2,5,5,5,5,5,5,5,5,"good","0.998634812286689"
178,"hotel_80925",2,2,5,5,5,5,4,5,5,5,"good","1"
179,"hotel_80925",2,2,4,4,4,3,4,4,4,4,"good","0.967741935483871"
180,"hotel_80925",1,1,5,5,5,4,5,5,5,5,"good","1"
181,"hotel_80925",2,2,5,5,4,4,5,4,5,4,"good","1"
182,"hotel_80925",2,1,3,3,3,3,4,5,5,3,"good","1"
183,"hotel_80925",1,1,5,5,5,2,5,5,5,5,"good","1"
184,"hotel_80925",2,2,5,5,5,3,5,5,5,3,"good","1"
185,"hotel_80925",2,2,4,5,4,4,5,5,5,4,"good","0.990740740740741"
186,"hotel_80925",2,2,5,5,5,4,5,5,5,5,"good","1"
187,"hotel_80925",2,2,5,5,5,5,5,5,5,5,"good","0.99798927613941"
188,"hotel_80925",2,2,5,4,5,3,5,5,5,4,"good","0.981481481481482"
189,"hotel_80925",3,3,5,5,5,4,5,5,5,5,"good","0.998389694041868"
190,"hotel_80925",3,3,5,5,4,4,5,5,5,5,"good","0.989010989010989"
191,"hotel_80925",4,4,5,5,4,3,4,5,5,5,"good","1"
192,"hotel_80925",3,2,4,4,4,4,4,4,4,4,"good","0.954198473282443"
193,"hotel_80925",1,1,5,5,5,5,5,5,5,5,"good","0.999324095978371"
194,"hotel_80925",1,0,3,3,2,4,4,4,4,3,"bad","0.25"
195,"hotel_80920",-1,-1,3,4,3,4,4,4,3,4,"good","0.555555555555556"
196,"hotel_80920",-1,-1,3,4,3,5,4,4,4,2,"good","0.837837837837838"
197,"hotel_80920",-1,-1,4,4,3,5,4,5,5,5,"good","0.9"
198,"hotel_80920",-1,-1,3,4,4,5,4,5,4,3,"good","0.933962264150943"
199,"hotel_80920",1,1,4,4,4,4,3,3,3,4,"good","0.666666666666667"
200,"hotel_80920",-1,-1,1,1,1,1,1,1,1,1,"bad","0"
201,"hotel_80920",-1,-1,2,2,3,2,3,2,2,3,"bad","0"
202,"hotel_80920",-1,-1,2,2,3,2,4,5,3,4,"bad","0"
203,"hotel_80920",-1,-1,4,4,3,4,4,5,4,3,"good","0.777777777777778"
204,"hotel_80920",1,1,4,5,5,4,5,5,5,5,"good","0.994623655913978"
205,"hotel_80920",2,0,4,4,4,5,5,5,4,4,"good","0.984126984126984"
206,"hotel_80920",2,0,4,4,4,5,4,5,4,4,"good","0.954954954954955"
207,"hotel_80920",1,0,4,5,3,3,4,5,4,3,"bad","0"
208,"hotel_80920",1,0,4,3,4,3,3,4,4,2,"bad","0"
209,"hotel_80920",1,0,3,4,3,5,5,5,4,3,"good","1"
210,"hotel_80920",2,2,2,2,2,1,2,2,2,1,"bad","0"
211,"hotel_80920",4,3,4,5,4,3,5,5,5,4,"good","0.956521739130435"
212,"hotel_80920",2,2,2,2,2,3,4,2,3,2,"bad","0"
213,"hotel_80920",2,1,4,4,3,4,4,4,4,4,"good","0.783783783783784"
214,"hotel_80920",6,4,5,5,3,5,5,5,5,3,"good","0.983606557377049"
215,"hotel_80920",7,6,5,5,3,5,5,3,3,4,"bad","0"
216,"hotel_80920",6,2,2,2,2,3,3,3,3,2,"bad","0"
217,"hotel_80920",7,6,5,5,5,5,5,5,5,4,"good","0.99798522498321"
218,"hotel_80920",13,8,1,1,1,1,3,3,3,3,"bad","0"
219,"hotel_80920",4,3,3,4,3,4,4,3,4,3,"good","1"
220,"hotel_80920",4,3,2,4,2,2,4,3,2,2,"bad","0"
221,"hotel_80920",4,3,5,5,5,5,4,5,5,3,"good","1"
222,"hotel_80920",1,0,5,4,5,5,5,5,5,3,"good","0.992792792792793"
223,"hotel_80920",1,0,4,4,4,4,5,4,4,3,"good","0.950617283950617"
224,"hotel_80920",1,0,4,4,5,2,4,5,5,4,"bad","0"
225,"hotel_80920",11,9,2,4,2,5,2,1,3,1,"bad","0"
226,"hotel_80920",10,7,4,5,4,4,4,5,5,4,"good","1"
227,"hotel_80920",-1,-1,4,4,4,4,5,4,4,4,"good","0.936842105263158"
228,"hotel_80920",-1,-1,4,4,4,5,4,5,4,3,"good","0.92436974789916"
229,"hotel_80920",-1,-1,5,5,4,5,4,4,4,4,"good","1"
230,"hotel_80920",-1,-1,3,4,3,4,4,5,5,3,"good","0.8"
231,"hotel_80920",-1,-1,2,3,3,3,4,3,3,3,"bad","0.230769230769231"
232,"hotel_80920",-1,-1,4,4,3,5,4,5,5,3,"good","1"
233,"hotel_80920",-1,-1,3,4,3,3,4,4,4,3,"good","0.875"
234,"hotel_80920",-1,-1,5,5,5,5,5,5,5,5,"good","0.99894477664439"
235,"hotel_80920",-1,-1,2,3,2,5,4,2,3,2,"bad","0"
236,"hotel_80920",1,1,5,5,5,5,5,5,5,5,"good","0.998317631224764"
237,"hotel_80920",-1,-1,4,5,3,5,3,4,4,2,"good","1"
238,"hotel_80920",-1,-1,4,3,4,5,4,5,5,3,"good","0.888888888888889"
239,"hotel_80920",-1,-1,4,3,3,4,3,4,4,4,"good","0.571428571428571"
240,"hotel_89049",-1,-1,3,3,3,4,3,3,2,2,"bad","0.142857142857143"
241,"hotel_89049",1,1,4,4,3,5,4,4,4,4,"good","0.739130434782609"
242,"hotel_89049",-1,-1,5,4,4,5,4,5,5,3,"good","1"
243,"hotel_89049",1,1,1,1,2,5,2,1,1,3,"bad","0"
244,"hotel_89049",1,0,5,5,5,5,5,5,5,5,"good","0.99763273588096"
245,"hotel_89049",2,1,5,5,5,5,5,5,5,5,"good","0.999342753861321"
246,"hotel_89049",1,1,2,3,2,5,4,4,4,3,"bad","0"
247,"hotel_89049",1,0,4,4,4,5,5,5,4,3,"good","0.986486486486487"
248,"hotel_89049",1,1,1,1,5,4,4,1,1,4,"bad","0"
249,"hotel_89049",1,1,3,3,4,4,4,2,2,3,"bad","0.166666666666667"
250,"hotel_89049",-1,-1,4,5,5,5,5,5,5,5,"good","0.999660210669385"
251,"hotel_89049",1,1,4,5,4,5,4,3,3,3,"good","0.916666666666667"
252,"hotel_89049",1,1,4,4,4,5,4,4,4,3,"good","0.974842767295597"
253,"hotel_89049",1,1,5,5,5,5,5,5,5,5,"good","0.998628728145355"
254,"hotel_89049",1,1,4,5,4,4,4,5,5,4,"good","1"
255,"hotel_89049",2,2,4,4,4,5,5,4,5,3,"good","0.96078431372549"
256,"hotel_89049",1,1,5,4,5,5,5,5,5,5,"good","0.994454713493531"
257,"hotel_89049",1,1,5,5,5,5,4,4,4,4,"good","1"
258,"hotel_89049",-1,-1,5,5,5,5,5,5,5,5,"good","0.999327956989247"
259,"hotel_89049",-1,-1,2,2,4,3,4,1,1,3,"bad","0"
260,"hotel_89049",-1,-1,5,5,4,4,5,5,5,4,"good","0.991935483870968"
261,"hotel_89049",-1,-1,3,4,4,5,4,4,4,4,"good","0.980891719745223"
262,"hotel_89049",-1,-1,4,4,3,5,3,4,4,3,"good","0.9375"
263,"hotel_89049",-1,-1,4,5,4,4,5,3,5,3,"good","1"
264,"hotel_89049",2,2,5,4,4,4,5,4,4,4,"good","0.96969696969697"
265,"hotel_89049",1,1,5,5,5,5,5,5,5,5,"good","0.9989816700611"
266,"hotel_89049",-1,-1,4,4,4,5,4,5,4,3,"good","0.944444444444444"
267,"hotel_89049",9,8,2,4,5,5,4,2,2,3,"bad","0"
268,"hotel_89049",1,0,1,2,1,1,2,1,1,1,"bad","0"
269,"hotel_89049",-1,-1,4,4,4,5,4,4,4,3,"good","0.941520467836257"
270,"hotel_89049",4,3,1,1,2,3,2,1,1,1,"bad","0"
271,"hotel_89049",2,1,1,3,3,3,2,2,1,1,"bad","0"
272,"hotel_89049",1,1,4,5,5,5,5,4,4,5,"good","1"
273,"hotel_89049",4,4,3,4,1,4,4,5,5,5,"good","1"
274,"hotel_89049",8,8,2,2,2,3,2,1,2,1,"bad","0"
275,"hotel_89049",-1,-1,4,3,5,5,5,1,3,5,"bad","0"
276,"hotel_72572",-1,-1,5,5,5,5,5,5,5,5,"good","0.997692054071876"
277,"hotel_72572",-1,-1,4,4,4,5,5,5,5,5,"good","0.983805668016194"
278,"hotel_72572",-1,-1,4,5,5,5,5,5,5,2,"good","0.998977853492334"
279,"hotel_72572",-1,-1,5,5,5,5,5,5,5,5,"good","0.999311057526696"
280,"hotel_72572",-1,-1,4,3,3,5,5,5,5,5,"bad","0.428571428571429"
281,"hotel_72572",-1,-1,4,4,4,4,4,4,4,3,"good","0.975206611570248"
282,"hotel_72572",1,1,5,4,5,5,5,5,5,4,"good","0.990689013035382"
283,"hotel_72572",1,1,5,4,5,5,5,5,5,5,"good","0.986111111111111"
284,"hotel_72572",-1,-1,5,5,5,5,5,5,5,3,"good","0.998984771573604"
285,"hotel_72572",-1,-1,2,2,1,4,4,3,3,3,"bad","0"
286,"hotel_72572",-1,-1,5,5,5,5,5,5,5,5,"good","1"
287,"hotel_72572",-1,-1,5,4,5,5,5,5,5,5,"good","0.996503496503496"
288,"hotel_72572",-1,-1,4,4,5,5,5,5,5,5,"good","0.990512333965844"
289,"hotel_72572",-1,-1,4,4,5,3,4,3,4,3,"bad","0"
290,"hotel_72572",-1,-1,1,2,1,1,1,1,1,1,"bad","0"
291,"hotel_72572",2,2,5,5,4,5,5,5,5,5,"good","0.990757855822551"
292,"hotel_72572",5,4,2,2,2,3,3,3,3,3,"bad","0"
293,"hotel_72572",5,5,5,5,5,5,5,5,5,5,"good","0.998290013679891"
294,"hotel_72572",6,4,2,2,2,1,3,2,2,2,"bad","0"
295,"hotel_72572",7,7,4,5,4,5,5,4,5,5,"good","1"
296,"hotel_72572",4,3,5,5,5,5,5,5,5,5,"good","0.997702658352478"
297,"hotel_72572",3,3,4,4,4,5,4,5,4,5,"good","0.989795918367347"
298,"hotel_72572",3,3,4,4,4,5,5,5,4,5,"good","0.975609756097561"
299,"hotel_72572",2,2,5,5,5,5,5,5,5,5,"good","0.997641509433962"
300,"hotel_72572",4,4,2,1,4,4,5,1,1,1,"bad","0"
301,"hotel_72572",6,6,4,4,4,4,4,3,3,3,"good","0.92"
302,"hotel_72572",4,4,3,3,3,2,3,5,5,3,"bad","0"
303,"hotel_72572",8,8,3,3,4,3,3,4,4,3,"bad","0"
304,"hotel_72572",19,15,1,3,3,3,3,3,3,3,"bad","0.315789473684211"
305,"hotel_72572",8,8,5,5,5,4,5,5,5,5,"good","1"
306,"hotel_72572",12,10,2,3,3,1,4,3,4,4,"bad","0"
307,"hotel_72572",6,6,5,4,4,4,5,5,4,4,"good","0.95"
308,"hotel_72572",6,6,4,4,4,5,4,5,4,5,"good","0.941666666666667"
309,"hotel_81192",-1,-1,2,4,4,4,4,4,4,4,"good","0.983870967741935"
310,"hotel_81192",-1,-1,5,5,5,4,5,3,5,4,"good","1"
311,"hotel_81192",1,1,5,5,5,5,5,5,4,5,"good","1"
312,"hotel_81192",-1,-1,5,5,5,5,5,5,5,5,"good","0.998661311914324"
313,"hotel_81192",-1,-1,5,5,5,5,5,5,5,5,"good","1"
314,"hotel_81192",1,1,4,4,3,5,3,3,3,3,"good","0.769230769230769"
315,"hotel_81192",1,1,5,4,4,5,4,4,4,3,"good","0.939189189189189"
316,"hotel_81192",1,1,5,4,5,5,5,5,5,5,"good","0.992409867172676"
317,"hotel_81192",-1,-1,5,4,5,5,5,5,4,4,"good","1"
318,"hotel_81192",-1,-1,3,3,4,4,4,3,4,3,"good","0.636363636363636"
319,"hotel_81192",-1,-1,4,4,4,4,4,2,3,2,"good","1"
320,"hotel_81192",1,0,2,1,2,4,2,2,2,1,"bad","0"
321,"hotel_81192",1,1,2,2,2,4,1,3,3,3,"bad","0"
322,"hotel_81192",-1,-1,4,4,5,5,4,2,3,2,"good","1"
323,"hotel_81192",1,1,4,4,5,5,4,4,2,4,"bad","0"
324,"hotel_81192",1,1,4,4,5,5,5,3,5,2,"good","1"
325,"hotel_81192",1,1,4,3,3,4,5,5,4,5,"bad","0"
326,"hotel_81192",-1,-1,5,5,5,5,5,5,5,5,"good","0.998985115020298"
327,"hotel_81192",-1,-1,4,4,5,5,5,5,5,2,"good","0.992869875222816"
328,"hotel_81192",4,1,1,1,3,5,3,1,1,4,"bad","0"
329,"hotel_81192",1,1,5,5,5,5,5,5,5,4,"good","0.998373454782043"
330,"hotel_81192",1,1,2,3,4,5,2,4,3,3,"bad","0"
331,"hotel_81192",1,1,3,3,3,5,4,3,2,2,"bad","0"
332,"hotel_81192",-1,-1,4,3,3,3,4,4,3,3,"bad","0"
333,"hotel_81192",-1,-1,5,5,5,5,5,4,5,4,"good","1"
334,"hotel_81192",-1,-1,4,3,3,3,3,1,2,1,"bad","0"
335,"hotel_81192",1,1,4,4,5,5,5,5,5,1,"good","0.994545454545455"
336,"hotel_81192",1,0,2,2,3,5,3,1,3,3,"bad","0"
337,"hotel_81192",3,2,2,2,2,4,3,2,3,1,"bad","0"
338,"hotel_81192",2,2,4,4,5,5,5,3,5,3,"good","1"
339,"hotel_81192",2,2,4,4,5,4,4,2,4,3,"bad","0"
340,"hotel_81192",2,2,5,5,5,5,5,4,4,4,"good","1"
341,"hotel_81192",1,1,3,3,3,4,4,3,4,3,"bad","0.0909090909090909"
342,"hotel_81192",3,3,4,4,3,5,4,4,3,1,"good","0.583333333333333"
343,"hotel_81192",2,1,2,2,2,3,2,1,2,1,"bad","0"
344,"hotel_81192",2,2,4,3,5,5,5,5,4,3,"good","0.857142857142857"
345,"hotel_81192",2,2,5,5,4,5,5,5,5,4,"good","0.996376811594203"
346,"hotel_81192",-1,-1,5,5,5,5,5,5,5,3,"good","0.99931577146767"
